RowID,intern_num,maxsal,minsal,city,scale,id_1,c_desc,month_num,day,c_tag,name,industry,c_name,
365,3,250,150,深圳,50-150人,inn_6uvzr26zqxz3,一家主要涉及服装、家居、户外、玩具、3C等类目产品的对外贸易的公司。,12,6,"['团建活动丰富', '成长空间', '跨境电商', '独立站']",独立站运营专员,互联网/游戏/软件,翌客,
366,5,300,200,上海,150-500人,inn_xddpevfh9b9r,依靠科技的力量辅助中国制造型企业向精益生产和工业4.0转型,6,5,"['硅谷团队', '工业4.0', '顶级投资人支持', '扁平管理', '期权激励', '早午晚餐全包', '一流办公环境', '高速成长']",平面设计实习生,互联网/游戏/软件,黑湖科技,
367,77,100,80,广州,150-500人,inn_n6xcu3zcoc0k,网易是中国领先的互联网技术公司，在开发互联网应用、服务及其它技术方面，网易始终保持国内业界的领先地位,3,5,[],智能硬件客服实习生,互联网/游戏/软件,网易有道,
368,71,120,100,杭州,2000人以上,inn_rcgwherkwmbm,致力于提供高品质、高性价比的安防产品和点到点的优质服务,5,4,"['安防视频监控', '留用机制', '开放创新', '有餐补', '导师制培养机制', '健身房', '自营咖啡厅', '图书馆', '可提供住宿', '空间无限大']",PCB工程师（2021届）,互联网/游戏/软件,巨峰科技,
369,5,50,0,烟台,50-150人,inn_x8oyiehsw2hs,一家以动漫IP为主体，集互联网运营推广、动画改编、游戏改编、衍生品开发为一体的综合性动漫企业,1,5,"['动漫', '学到东西多', '五险& 双休', '午餐补助', '培训资源']",模型实习生,互联网/游戏/软件,新浪动漫（松昂动画）,
370,5,50,0,烟台,50-150人,inn_6ihvrtjpv27k,一家以动漫IP为主体，集互联网运营推广、动画改编、游戏改编、衍生品开发为一体的综合性动漫企业,1,5,"['动漫', '学到东西多', '五险& 双休', '午餐补助', '培训资源']",动画实习生,互联网/游戏/软件,新浪动漫（松昂动画）,
371,1,200,100,福州,150-500人,inn_zmfwsglmqpxj,我司是主营家居日用百货的电商贸易公司，自主品牌，多渠道多平台齐发展,6,5,"['收获成长', '职位发展', '接收实习生', '人文环境好', '职前培训']",新媒体运营实习生（侧重抖音/短视频）,互联网/游戏/软件,福州悠品,
372,1,150,120,上海,少于15人,inn_jvra2e6yucmx,凡之科技主要经营网络游戏等相关的项目,3,3,"['活泼挑战', '办公环境卫生', '人才培养', '扁平化管理']",客户回访,互联网/游戏/软件,凡之科技,
373,5,150,100,南京,2000人以上,inn_uabaebfjqzgw,旅游入口，公司,6,5,"['不打杂！', '有培训有提升', '人性管理', '内部培训']",机票/酒店售后顾问,互联网/游戏/软件,途牛旅游网,
374,1,200,100,上海,15-50人,inn_mgt8anrajpxg,奥潽途码（中国）汽车技术咨询有限公司在中国成立于2017年 ,3,3,"['员工Nice', '有发展', '周末双休、', '外资企业']",PHP程序员实习生,汽车/机械/制造,Op2ma,
375,4,150,120,上海,2000人以上,inn_jbeliv167neh,实效商学院,6,5,"['丰富的员工活动', '实践证明', '公司发展前景', '业界牛人', '向未来生长', '有价值观', '员工培养']",招聘实习生,互联网/游戏/软件,行动教育,
