maxsal,minsal,intern_num,city,scale,c_desc,month_num,day,c_tag,name,industry,c_name,
0,0,6,合肥,500-2000人,一家以提供高标准的金融信息咨询服务为目的，接受金融、互联网金融机构委托从事金融业务流程的外包服务，企业投资管理与咨询，电子商务服务，商务咨询的新型电子商务企业,9,5,[],账单提醒客服,金融/经济/投资/财会,鼎众金融,
150,120,75,中山,500-2000人,人力资源服务,6,3,[],财务实习生,企业服务/咨询,外企德科,
200,120,2,上海,少于15人,高端艺术留学服务品牌,3,3,"['主管好', '公司靠谱', '有培训有提升', '团队年轻化', '时间灵活自由', '上司很和蔼', '重视员工价值', '高成长']",平面设计实习生,教育/培训,欧时教育,
180,100,14,上海,2000人以上,在中国医药行业处于领先地位的上市公司,5,5,"['员工午餐', '一周双休', '有益成长', '前途好', '公司位置好', '氛围棒', '免费健身']",质量实习生,医疗/健康/制药/生物,复星医药,
150,100,176,广州,2000人以上,以视频内容，连接你我，丰富生活,3,4,"['工作环境超棒', '节日大礼包', '餐补']",商务BD实习生,互联网/游戏/软件,欢聚集团,
150,100,3,上海,15-50人,普维资本致力于通过“资本+IP+产业+人才”的MIIT运营模式，为中小企业的各个发展阶段提供资金和资源支持,3,4,[],产业孵化部管理培训生（实习）,金融/经济/投资/财会,普维资本,
200,150,26,成都,2000人以上,一家集房产交易服务、资产管理服务为一体以数据驱动的价值链房产服务平台,3,6,"['给力的福利', '出国带薪旅游', '五险一金', '活力强', '高薪资高挑战']",市场拓展实习生,房产/家居/物业/建筑,链家,
200,100,26,上海市,2000人以上,国内家全品牌的连锁酒店管理集团,12,3,"['公平公正', '双休', '团队给力', '学习机会大', '环境开放', '签实习协议']",整合营销实习生（汉咖）,餐饮/酒店/旅游/娱乐,华住集团,
150,120,225,广州,2000人以上,游戏热爱者,3,3,"['文化开放', '优秀的团队', '机制健全', '大家庭', '实习待遇好', '学习平台大']",视觉设计实习生（应用）-广州,互联网/游戏/软件,网易游戏,
150,150,6,上海,2000人以上,国内中英合资的高端汽车企业,3,5,"['大集团背景', '集中办公', '稳定高速增长', '季度活动', '用心学到很多']",人力资源部实习生,汽车/机械/制造,CJLR,
150,100,176,广州,2000人以上,以视频内容，连接你我，丰富生活,3,4,"['工作环境超棒', '节日大礼包', '餐补']",运营实习生（用户召回）,互联网/游戏/软件,欢聚集团,
180,100,4,广州,少于15人,华南专业FA,3,4,"['人性化管理', '关注员工发展', '环境好氛围好', '提供实习证明']",Intern,企业服务/咨询,创互FA,
150,100,1,上海,50-150人,JC成立于2007年，致力于Trade Marketing 渠道营销 和 Sales Operati,3,3,"['双休&五险一金', '核心团队', '风口产业', '学习量大', '成长指导', '快乐创业']",大客户经理实习生,互联网/游戏/软件,精程后勤,
150,100,176,广州,2000人以上,以视频内容，连接你我，丰富生活,3,4,"['工作环境超棒', '节日大礼包', '餐补']",公会运营实习生,互联网/游戏/软件,欢聚集团,
150,100,176,广州,2000人以上,以视频内容，连接你我，丰富生活,3,3,"['工作环境超棒', '节日大礼包', '餐补']",Android开发实习生,互联网/游戏/软件,欢聚集团,
